interstate,start_measure_m,end_measure_m,gap_length_m,gap_length_mi,is_food_desert,segment_type
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
